,Title,Year,Foreign Percent,Domestic Percent,Foreign Lifetime Gross,Domestic Lifetime Gross,Global Lifetime Gross
183,Kong: Skull Island,2017,70.3,29.7,398600000,168052812,566652812
184,The Smurfs,2011,74.7,25.3,421135165,142614158,563749323
185,Cars 2,2011,65.8,34.2,368400000,191452396,559852396
186,King Kong,2005,60.8,39.2,338826353,218080025,556906378
187,Puss in Boots,2011,73.1,26.9,405726973,149260504,554987477
188,The Mermaid,2016,99.4,0.6,550577543,3232685,553810228
189,Armageddon,1998,63.6,36.4,352131606,201578182,553709788
190,The Day After Tomorrow,2004,66.2,33.8,365898772,186740799,552639571
191,Ted,2012,60.2,39.8,330552828,218815487,549368315
192,American Sniper,2014,36.0,64.0,197300000,350159020,547459020
193,Mission: Impossible II,2000,60.6,39.4,330978219,215409889,546388108
194,Detective Chinatown 2,2018,99.6,0.4,542201172,1983984,544185156
195,X-Men: Apocalypse,2016,71.4,28.6,388491616,155442489,543934105
196,Sherlock Holmes: A Game of Shadows,2011,65.6,34.4,357000000,186848418,543848418
197,Despicable Me,2010,53.7,46.3,291600000,251557985,543157985
198,Cinderella,2015,62.9,37.1,341206978,201151353,542358331
199,Madagascar,2005,64.3,35.7,348468325,193595521,542063846
